UNIQUE_CARRIER_NAME,Date,Open,High,Low,Close,Adj Close,Volume
Southwest Airlines Co.,10/1/1986,1.03,1.15,1.02,1.03,0.86,118469337
Southwest Airlines Co.,11/1/1986,1.03,1.05,0.97,0.99,0.83,45207115
Southwest Airlines Co.,12/1/1986,0.99,1.03,0.87,0.91,0.76,73952496
Southwest Airlines Co.,1/1/1987,0.91,1.09,0.91,0.99,0.83,81864419
Southwest Airlines Co.,2/1/1987,0.99,1.11,0.98,1.06,0.89,81700396
Southwest Airlines Co.,3/1/1987,1.07,1.10,0.90,0.93,0.78,150893890
Southwest Airlines Co.,4/1/1987,0.93,1.02,0.79,0.83,0.70,113211423
Southwest Airlines Co.,5/1/1987,0.83,0.89,0.81,0.86,0.72,58616157
Southwest Airlines Co.,6/1/1987,0.86,0.95,0.82,0.89,0.75,72196061
Southwest Airlines Co.,7/1/1987,0.88,1.01,0.85,0.97,0.81,69213993
Southwest Airlines Co.,8/1/1987,0.94,1.02,0.91,0.92,0.77,59686876
Southwest Airlines Co.,9/1/1987,0.92,0.93,0.86,0.87,0.73,55331106
Southwest Airlines Co.,10/1/1987,0.88,0.93,0.58,0.68,0.57,68168336
Southwest Airlines Co.,11/1/1987,0.67,0.67,0.55,0.61,0.52,39580144
Southwest Airlines Co.,12/1/1987,0.61,0.66,0.52,0.59,0.49,66913087
Southwest Airlines Co.,1/1/1988,0.61,0.67,0.58,0.66,0.55,53788811
Southwest Airlines Co.,2/1/1988,0.66,0.76,0.63,0.75,0.63,58509085
Southwest Airlines Co.,3/1/1988,0.75,0.80,0.72,0.75,0.63,74483298
Southwest Airlines Co.,4/1/1988,0.75,0.76,0.69,0.69,0.58,25863553
Southwest Airlines Co.,5/1/1988,0.70,0.76,0.68,0.75,0.63,48287140
Southwest Airlines Co.,6/1/1988,0.75,0.84,0.73,0.83,0.70,121328382
Southwest Airlines Co.,7/1/1988,0.84,0.84,0.78,0.81,0.69,37331638
Southwest Airlines Co.,8/1/1988,0.81,0.82,0.67,0.69,0.58,33372255
Southwest Airlines Co.,9/1/1988,0.69,0.77,0.69,0.75,0.63,45553391
Southwest Airlines Co.,10/1/1988,0.74,0.88,0.74,0.85,0.72,90074785
Southwest Airlines Co.,11/1/1988,0.84,0.88,0.77,0.84,0.71,59837230
Southwest Airlines Co.,12/1/1988,0.84,0.92,0.81,0.89,0.75,75342151
Southwest Airlines Co.,1/1/1989,0.88,1.05,0.86,1.04,0.89,113425569
Southwest Airlines Co.,2/1/1989,1.04,1.09,0.98,1.03,0.88,100547323
Southwest Airlines Co.,3/1/1989,1.03,1.14,1.03,1.14,0.96,83821332
Southwest Airlines Co.,4/1/1989,1.13,1.26,1.13,1.22,1.04,65862875
Southwest Airlines Co.,5/1/1989,1.22,1.26,1.10,1.13,0.96,51572194
Southwest Airlines Co.,6/1/1989,1.12,1.22,1.08,1.20,1.02,59258589
Southwest Airlines Co.,7/1/1989,1.19,1.32,1.19,1.24,1.06,49159661
Southwest Airlines Co.,8/1/1989,1.23,1.35,1.12,1.27,1.08,165357704
Southwest Airlines Co.,9/1/1989,1.28,1.31,1.14,1.17,1.00,61949054
Southwest Airlines Co.,10/1/1989,1.17,1.26,0.95,1.00,0.86,102709268
Southwest Airlines Co.,11/1/1989,1.00,1.01,0.95,0.99,0.85,45564778
Southwest Airlines Co.,12/1/1989,1.00,1.14,0.99,1.05,0.90,58864474
Southwest Airlines Co.,1/1/1990,1.05,1.07,0.88,0.90,0.77,84384027
Southwest Airlines Co.,2/1/1990,0.90,1.00,0.89,0.98,0.83,30618001
Southwest Airlines Co.,3/1/1990,0.98,1.06,0.98,1.04,0.89,50045850
Southwest Airlines Co.,4/1/1990,1.04,1.11,1.03,1.05,0.90,44462168
Southwest Airlines Co.,5/1/1990,1.05,1.19,1.05,1.13,0.97,61684789
Southwest Airlines Co.,6/1/1990,1.14,1.17,1.08,1.13,0.97,71070666
Southwest Airlines Co.,7/1/1990,1.13,1.25,1.13,1.23,1.05,64705587
