YEAR,QUARTER,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP_NEW,DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,DISTANCE,RAMP_TO_RAMP,AIR_TIME,NET_INCOME,OP_PROFIT_LOSS,TRANS_REV_PAX,MAIL_REV,TOTAL_PROPERTY,PROP_FREIGHT,PROP_BAG,TOTAL_CHARTER,CHARTER_PAX,CHARTER_PROP,TOTAL_MISC_REV,RES_CANCEL_FEES,MISC_OP_REV,PUB_SVC_REVENUE,TRANS_REVENUE,OP_REVENUES,FLYING_OPS,MAINTENANCE,PAX_SERVICE,AIRCFT_SERVICES,PROMOTION_SALES,GENERAL_ADMIN,GENERAL_SERVICES,DEPREC_AMORT,TRANS_EXPENSES,OP_EXPENSES,INTEREST_LONG_DEBT,INTEREST_EXP_OTH,FOREIGN_EX_GAINS,CAP_GAINS_PROP,CAP_GAINS_OTHER,OTHER_INCOME_NET,NON_OP_INCOME,INCOME_PRE_TAX,INCOME_TAX,INCOME_BEFORE_OTH,DISCONT_OPS,EXTRA_ITEMS,INCOME_TAX_EXTRA,INCOME_TAX_CREDITS,ACCTG_CHANGES,CARRIER_GROUP,ASM,RPM,LOAD_FACTOR,YIELD,RASM,CASM,PRASM
1995,2,HA,19690,Hawaiian Airlines Inc.,15375,P,HA,Hawaiian Airlines Inc.,2,79,80,7064000,24310,16656,104761,177255,31980,25125,23549,1820000,1849000,4761000,258000,210000,181000,30000,,,,,,73000,,5000,5307000,562000,522000,597000,764000,676000,247000,,77000,14000,3458000,,-28000,,,,-1000,-29000,1820000,,1820000,,,,,,2,777433800,532658880,0.69,0.0000089374,0.0000068269,0.0000044484,0.0000061235
1995,2,NK,20416,Spirit Air Lines,6830,D,NK,Spirit Air Lines,1,1594,1593,38232000,191160,163654,0,0,57215,224634,191744,699000,1240000,11678000,,,,,,,,,,284000,,,11962000,6250000,1848000,,,,,1535000,273000,816000,10722000,-204000,30000,,,,,-174000,1066000,368000,699000,,,,,,1,10937219400,9363463610,0.86,0.0000012472,0.0000010937,0.0000009803,0.0000010677
1995,2,UA,19977,United Air Lines Inc.,0A875,D,UA,United Air Lines Inc.,3,185660,183768,6786558420,26184416,18078274,161932280,166830684,3824569,24455626,20872243,110697000,212705000,2209339000,36995000,44540000,40751000,3789000,3762000,3762000,,,25888000,7474000,,161321000,2489319000,664489000,305828000,243431000,403338000,386354000,76586000,,117322000,79266000,2276614000,-51733000,3313000,5922000,-387000,,15729000,-27156000,185549000,74852000,110697000,,,,,,3,100144105716704,69141606313906,0.69,0.0000000320,0.0000000249,0.0000000227,0.0000000221
1995,2,UA,19977,United Air Lines Inc.,10874,A,UA,United Air Lines Inc.,3,3463,3456,271641700,837454,689917,41727839,4923890,641083,1769457,1677023,-418000,5313000,281756000,4061000,20925000,20304000,621000,,,,,24000,868000,,17067000,324701000,79656000,26024000,50505000,53061000,54514000,29546000,,16907000,9175000,319388000,-8820000,551000,844000,-61000,,2667000,-4819000,494000,912000,-418000,,,,,,3,536877522682,442294060111,0.82,0.0000006370,0.0000006048,0.0000005949,0.0000005248
1995,2,UA,19977,United Air Lines Inc.,10876,L,UA,United Air Lines Inc.,3,3640,3632,186535020,651446,376568,20934049,1189910,360735,1211575,1129142,-3692000,-4201000,129079000,829000,13021000,12787000,234000,1422000,1422000,,,10000,686000,,8638000,153685000,44645000,10849000,21439000,20583000,32944000,15731000,,7163000,4532000,157886000,-4446000,286000,519000,-33000,,1351000,-2323000,-6524000,-2832000,-3692000,,,,,,3,234999372810,135841257480,0.58,0.0000009502,0.0000006540,0.0000006719,0.0000005493
1995,2,UA,19977,United Air Lines Inc.,10877,P,UA,United Air Lines Inc.,3,3528,3523,413311700,1340773,955005,49808747,8070986,961322,2252434,2160679,46974000,88448000,722948000,10143000,61166000,59831000,1335000,1110000,1110000,,,50000,1634000,,39140000,836191000,220363000,75944000,117318000,91499000,161053000,30243000,,31904000,19419000,747743000,-20970000,1351000,2446000,-158000,,6373000,-10958000,77490000,30516000,46974000,,,,,,3,1288914581906,918067316610,0.71,0.0000007875,0.0000006488,0.0000005801,0.0000005609
1995,2,WN,19393,Southwest Airlines Co.,6725,D,WN,Southwest Airlines Co.,3,171734,169939,5732008935,22338593,14795261,36397439,39516650,1239866,12422626,10369941,59724000,102604000,710277000,6144000,10304000,9975000,329000,4044000,4044000,,,,4905000,,2810000,738484000,206182000,68989000,41440000,100764000,113657000,65220000,,36764000,2864000,635880000,-14952000,8281000,-24000,-104000,,4996000,-1803000,100801000,41077000,59724000,,,,,,3,27696861948538,18344141075026,0.66,0.0000000387,0.0000000267,0.0000000230,0.0000000256
1995,3,AA,19805,American Airlines Inc.,0A050,D,AA,American Airlines Inc.,3,179596,177243,7186853735,25822226,17005704,168224811,114207410,2831080,27805312,23551974,93128000,268904000,2344860000,26811000,53184000,48374000,4810000,1128000,1128000,,,,16100000,,313077000,2755160000,655005000,265786000,271136000,489878000,450761000,138755000,,204814000,10121000,2486256000,-106845000,2387000,,-145000,,2209000,-102394000,166510000,73382000,93128000,,,,,,3,73104787584080,48144508480320,0.66,0.0000000487,0.0000000377,0.0000000340,0.0000000321
1995,3,AA,19805,American Airlines Inc.,10049,A,AA,American Airlines Inc.,3,6792,6776,545010298,1403893,1137703,88552741,7875076,1012522,3427608,3220993,53375000,90165000,519710000,5841000,43267000,41766000,1501000,,,,,,2590000,,37841000,609249000,112785000,37237000,87171000,116549000,100456000,22838000,,36986000,5062000,519084000,-8400000,187000,,-11000,,174000,-8050000,82115000,28740000,53375000,,,,,,3,1421472548146,1151949316966,0.81,0.0000004512,0.0000004286,0.0000003652,0.0000003656
1995,3,AA,19805,American Airlines Inc.,10050,L,AA,American Airlines Inc.,3,22670,22294,1202431491,4173785,2861789,60290002,4660299,964357,4273272,3700814,50398000,95599000,558618000,2103000,31427000,29001000,2426000,489000,489000,,,,4223000,,28364000,625224000,138044000,49087000,74368000,106374000,101813000,22146000,,35267000,2526000,529625000,-18848000,421000,,-26000,,390000,-18063000,77536000,27138000,50398000,,,,,,3,4025018781245,2759786254673,0.69,0.0000002024,0.0000001553,0.0000001316,0.0000001388
1995,3,AA,19805,American Airlines Inc.,10052,P,AA,American Airlines Inc.,3,530,523,52666100,127717,103306,10168615,1051146,107317,329521,314543,15307000,24223000,87864000,1459000,9738000,9546000,192000,,,,,,129000,,6935000,106125000,13438000,4080000,11949000,14708000,26202000,4077000,,7041000,407000,81902000,-702000,16000,,-1000,,14000,-673000,23550000,8243000,15307000,,,,,,3,13706205289,11086490002,0.81,0.0000079253,0.0000077428,0.0000059755,0.0000064105
1995,3,AS,19930,Alaska Airlines Inc.,6031,D,AS,Alaska Airlines Inc.,3,37483,37117,1274744800,4855377,3119160,40222301,14671944,467101,4355047,3749082,27708000,54559000,282279000,5285000,17950000,16788000,1162000,2412000,1232000,1180000,,12636000,-5517000,352000,20637000,336034000,103457000,21909000,30505000,47873000,46811000,12020000,,14011000,4889000,281475000,-9473000,-242000,,-657000,,3903000,-6469000,48090000,20382000,27708000,,,,,,3,2267951452077,1456962755160,0.64,0.0000001937,0.0000001482,0.0000001241,0.0000001245
1995,3,AS,19930,Alaska Airlines Inc.,16031,L,AS,Alaska Airlines Inc.,3,1050,1035,36535270,144900,96585,235392,1253,66637,154898,136748,640000,1281000,11215000,,142000,92000,50000,,,,,540000,-236000,,,11661000,3711000,769000,1077000,1927000,1860000,451000,,585000,,10380000,-356000,-9000,,-25000,,147000,-243000,1038000,398000,640000,,,,,,3,9655701300,6436134645,0.67,0.0000017425,0.0000012077,0.0000010750,0.0000011615
1995,3,DL,19790,Delta Air Lines Inc.,1260,D,DL,Delta Air Lines Inc.,3,227198,225426,9056629565,35593192,21188150,168283581,181247494,3766743,24954881,20329301,148350000,292577000,2270720000,31987000,52031000,47141000,4890000,4441000,4441000,,,,37007000,,43317000,2439503000,682632000,190752000,224283000,395088000,452892000,63916000,,127630000,9733000,2146926000,-51076000,-3745000,-5287000,-3228000,,23322000,-40014000,252563000,104213000,148350000,,,,,,3,134070406813656,79810315695450,0.60,0.0000000285,0.0000000182,0.0000000160,0.0000000169
1995,3,DL,19790,Delta Air Lines Inc.,10260,L,DL,Delta Air Lines Inc.,3,2572,2541,117880820,443079,299848,5811890,355281,90071,410924,353740,2529000,4531000,40690000,278000,2361000,2189000,172000,,,,,,84000,,4818000,48231000,12430000,3298000,4377000,7156000,6127000,1097000,,2831000,6384000,43700000,-702000,-64000,-91000,-63000,,468000,-452000,4079000,1550000,2529000,,,,,,3,39908568609,27007609208,0.68,0.0000015066,0.0000012085,0.0000010950,0.0000010196
1995,3,DL,19790,Delta Air Lines Inc.,10261,A,DL,Delta Air Lines Inc.,3,6123,6075,455114910,1359368,1128637,51808507,5009476,1279531,3123534,2940538,43387000,76555000,551293000,3923000,33362000,32493000,869000,66000,66000,,,,1185000,,79722000,669551000,152973000,48937000,75338000,119891000,79555000,15659000,,26373000,74270000,592996000,-10026000,-917000,-1295000,-1029000,,6680000,-6587000,69968000,26581000,43387000,,,,,,3,1739353496408,1444126029247,0.83,0.0000003817,0.0000003849,0.0000003409,0.0000003170
