YEAR,QUARTER,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,CARRIER_GROUP_NEW,Open,High,Low,Close,Adj Close,Volume
2014,2,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,46.365002,50.490002,43.91,47.525002,43.235088,96164600
2014,3,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,47.625,50.139999,41.84,43.540001,39.719635,84412500
2014,4,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,43.139999,60.939999,40.689999,59.759998,54.637875,99192500
2015,1,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,60.540001,71.400002,57.709999,66.18,60.700481,92863600
2015,2,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,65.330002,68.68,58.150002,64.43,59.270786,82861600
2015,3,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,65.550003,82.779999,58.919998,79.449997,73.272888,89109100
2015,4,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,78.879997,87.169998,72.889999,80.510002,74.444641,82761800
2016,1,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,79.160004,83.089996,61.580002,82.019997,76.130363,86034700
2016,2,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,81.260002,83.260002,54.509998,58.290001,54.332859,137589500
2016,3,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,58.240002,71.629997,56.450001,65.860001,61.645355,89463700
2016,4,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,65.599998,91.889999,65.599998,88.730003,83.365074,74005400
2017,1,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,88.919998,101.43,86.220001,92.220001,86.912971,83069500
2017,2,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,92.419998,93.160004,82.029999,89.760002,84.901253,83223600
2017,3,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,90.269997,95.75,71.169998,76.269997,72.412956,87012000
2017,4,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,76.300003,82.68,61.099998,73.510002,70.109283,120350900
2018,1,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,74.040001,75.459999,59.25,61.959999,59.380783,158809800
2018,2,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,61.669998,70.25,57.529999,60.389999,58.19606,142449800
2018,3,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,60.169998,70.75,57.970001,68.860001,66.686646,98416600
2018,4,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,68.709999,74.830002,57.419998,60.849998,59.208126,117451000
2019,1,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,59.93,67.639999,53.389999,56.119999,54.894367,106595600
2019,2,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,56.299999,64,56.110001,63.91,62.866917,74188400
2019,3,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,64.099998,66.519997,57.119999,64.910004,64.222992,63385500
2019,4,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,65.449997,72.220001,61.150002,67.75,67.36795,54755700
2020,1,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,68.150002,68.790001,20.02,28.469999,28.469999,143827700
2020,2,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,26.92,50.810001,23.389999,36.259998,36.259998,245460900
2020,3,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,37.18,43.939999,33.220001,36.630001,36.630001,148944300
2020,4,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,37.09,54.959999,35.060001,52,52,136563400
2021,1,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,52.169998,73.75,48.09,69.209999,69.209999,116992600
2021,2,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,69.669998,74.25,59.830002,60.310001,60.310001,99446500
2021,3,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,60.860001,62.849998,51.75,58.599998,58.599998,116164300
2021,4,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,60.529999,63.759998,46.259998,52.099998,52.099998,120150800
2022,1,AS,19930,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,3,52.860001,61.07,43.459999,58.009998,58.009998,135318400
